λ (nm),Abertura (mm),Tensão (V),Corrente (A),Escala
365,8mm,"-1,756",0,10^-12 A
365,8mm,"-1,581",142,10^-12 A
365,8mm,"-1,406",375,10^-12 A
365,8mm,"-1,231",661,10^-12 A
365,8mm,"-1,056",984,10^-12 A
365,8mm,"-0,881",129,10^-11 A
365,8mm,"-0,706",164,10^-11 A
365,8mm,"-0,531",201,10^-11 A
365,8mm,"-0,356",241,10^-11 A
365,8mm,"-0,18",277,10^-11 A
365,8mm,0,317,10^-11 A
365,8mm,"3,01",919,10^-11 A
365,8mm,"6,01",184,10^-10 A
365,8mm,9,282,10^-10 A
365,8mm,12,392,10^-10 A
365,8mm,15,495,10^-10 A
365,8mm,"18,01",593,10^-10 A
365,8mm,21,685,10^-10 A
365,8mm,24,775,10^-10 A
365,8mm,"27,01",845,10^-10 A
365,8mm,30,925,10^-10 A
365,4mm,"-1,59",0,10^-12 A
365,4mm,"-1,431",88,10^-12 A
365,4mm,"-1,27",203,10^-12 A
365,4mm,"-1,111",325,10^-12 A
365,4mm,"-0,949",466,10^-12 A
365,4mm,"-0,79",607,10^-12 A
365,4mm,"-0,63",743,10^-12 A
365,4mm,"-0,47",896,10^-12 A
365,4mm,"-0,309",1043,10^-12 A
365,4mm,"-0,15",1217,10^-12 A
365,4mm,0,1368,10^-12 A
365,4mm,3,582,10^-11 A
365,4mm,"5,99",1130,10^-11 A
365,4mm,"9,01",1481,10^-11 A
365,4mm,"12,01",1870,10^-11 A
365,4mm,15,222,10^-10 A
365,4mm,18,248,10^-10 A
365,4mm,21,266,10^-10 A
365,4mm,"24,02",290,10^-10 A
365,4mm,"27,01",311,10^-10 A
365,4mm,30,328,10^-10 A
365,2mm,"-1,377",0,10^-12 A
365,2mm,"-1,239",34,10^-12 A
365,2mm,"-1,103",58,10^-12 A
365,2mm,"-0,966",93,10^-12 A
365,2mm,"-0,828",127,10^-12 A
365,2mm,"-0,692",164,10^-12 A
365,2mm,"-0,555",202,10^-12 A
365,2mm,"-0,418",258,10^-12 A
365,2mm,"-0,281",288,10^-12 A
365,2mm,"-0,144",325,10^-12 A
365,2mm,0,368,10^-12 A
365,2mm,"2,99",142,10^-11 A
365,2mm,6,282,10^-11 A
365,2mm,9,385,10^-11 A
365,2mm,12,482,10^-11 A
365,2mm,"15,02",556,10^-11 A
365,2mm,18,615,10^-11 A
365,2mm,"21,02",672,10^-11 A
365,2mm,"24,01",727,10^-11 A
365,2mm,27,771,10^-11 A
365,2mm,"30,03",802,10^-11 A
405,8mm,"-1,19",0,10^-12 A
405,8mm,"-1,071",59,10^-12 A
405,8mm,"-0,951",134,10^-12 A
405,8mm,"-0,834",222,10^-12 A
405,8mm,"-0,714",321,10^-12 A
405,8mm,"-0,596",426,10^-12 A
405,8mm,"-0,473",533,10^-12 A
405,8mm,"-0,357",653,10^-12 A
405,8mm,"-0,238",773,10^-12 A
405,8mm,"-0,119",906,10^-12 A
405,8mm,0,1075,10^-12 A
405,8mm,"3,03",444,10^-11 A
405,8mm,"6,01",963,10^-11 A
405,8mm,9,1253,10^-11 A
405,8mm,"12,01",1633,10^-11 A
405,8mm,"14,99",1906,10^-11 A
405,8mm,1799,214,10^-10 A
405,8mm,"21,01",230,10^-10 A
405,8mm,"24,01",246,10^-10 A
405,8mm,27,261,10^-10 A
405,8mm,30,278,10^-10 A
405,4mm,"-1,098",0,10^-12 A
405,4mm,"-0,99",20,10^-12 A
405,4mm,"-0,88",44,10^-12 A
405,4mm,"-0,771",72,10^-12 A
